Quarter,AgeGroup,Sex,EmploymentRate,Year,Qtr
2022 Q1,15-19,Female,27.5,2022,Q1
2022 Q1,15-19,Male,26.6,2022,Q1
2022 Q1,20-24,Female,68.0,2022,Q1
2022 Q1,20-24,Male,70.2,2022,Q1
2022 Q1,25-34,Female,79.4,2022,Q1
2022 Q1,25-34,Male,85.3,2022,Q1
2022 Q1,35-44,Female,77.9,2022,Q1
2022 Q1,35-44,Male,89.2,2022,Q1
2022 Q1,45-54,Female,75.6,2022,Q1
2022 Q1,45-54,Male,87.1,2022,Q1
2022 Q1,55-59,Female,69.9,2022,Q1
2022 Q1,55-59,Male,82.4,2022,Q1
2022 Q1,60-64,Female,45.9,2022,Q1
2022 Q1,60-64,Male,66.0,2022,Q1
2022 Q2,15-19,Female,30.6,2022,Q2
2022 Q2,15-19,Male,28.1,2022,Q2
2022 Q2,20-24,Female,68.1,2022,Q2
2022 Q2,20-24,Male,70.0,2022,Q2
2022 Q2,25-34,Female,80.3,2022,Q2
2022 Q2,25-34,Male,86.1,2022,Q2
2022 Q2,35-44,Female,76.9,2022,Q2
2022 Q2,35-44,Male,92.2,2022,Q2
2022 Q2,45-54,Female,75.6,2022,Q2
2022 Q2,45-54,Male,87.9,2022,Q2
2022 Q2,55-59,Female,68.9,2022,Q2
2022 Q2,55-59,Male,82.4,2022,Q2
2022 Q2,60-64,Female,46.1,2022,Q2
2022 Q2,60-64,Male,66.8,2022,Q2
2022 Q3,15-19,Female,29.4,2022,Q3
2022 Q3,15-19,Male,29.2,2022,Q3
2022 Q3,20-24,Female,63.3,2022,Q3
2022 Q3,20-24,Male,70.8,2022,Q3
2022 Q3,25-34,Female,77.7,2022,Q3
2022 Q3,25-34,Male,86.9,2022,Q3
2022 Q3,35-44,Female,76.6,2022,Q3
2022 Q3,35-44,Male,91.7,2022,Q3
2022 Q3,45-54,Female,75.2,2022,Q3
2022 Q3,45-54,Male,88.4,2022,Q3
2022 Q3,55-59,Female,68.9,2022,Q3
2022 Q3,55-59,Male,81.5,2022,Q3
