Quarter,Sex,Sector,Employment
2022 Q1,Female,Accommodation & Food,95.4
2022 Q1,Male,Accommodation & Food,67.9
2022 Q1,Female,Admin & Support,44.0
2022 Q1,Male,Admin & Support,59.7
2022 Q1,Female,Agriculture,15.7
2022 Q1,Male,Agriculture,90.6
2022 Q1,Female,Construction,12.8
2022 Q1,Male,Construction,150.2
2022 Q1,Female,Education,159.3
2022 Q1,Male,Education,57.3
2022 Q1,Female,Financial & Insurance,66.4
2022 Q1,Male,Financial & Insurance,71.8
2022 Q1,Female,Human Health & Social Work,261.6
2022 Q1,Male,Human Health & Social Work,73.2
2022 Q1,Female,Industry,99.7
2022 Q1,Male,Industry,221.1
2022 Q1,Female,Information & Communication,51.2
2022 Q1,Male,Information & Communication,117.8
2022 Q1,Female,Professional & Scientific,79.3
2022 Q1,Male,Professional & Scientific,86.6
2022 Q1,Female,Public Admin & Defence,74.9
2022 Q1,Male,Public Admin & Defence,62.8
2022 Q1,Female,Transport & Storage,21.6
2022 Q1,Male,Transport & Storage,93.5
2022 Q1,Female,Wholesale & Retail,149.8
2022 Q1,Male,Wholesale & Retail,156.6
2022 Q2,Female,Accommodation & Food,95.3
2022 Q2,Male,Accommodation & Food,73.5
2022 Q2,Female,Admin & Support,45.4
2022 Q2,Male,Admin & Support,61.9
2022 Q2,Female,Agriculture,14.8
2022 Q2,Male,Agriculture,93.5
2022 Q2,Female,Construction,16.1
2022 Q2,Male,Construction,154.9
2022 Q2,Female,Education,162.2
2022 Q2,Male,Education,58.5
2022 Q2,Female,Financial & Insurance,64.5
2022 Q2,Male,Financial & Insurance,68.1
2022 Q2,Female,Human Health & Social Work,266.3
2022 Q2,Male,Human Health & Social Work,74.0
2022 Q2,Female,Industry,99.7
2022 Q2,Male,Industry,225.9
2022 Q2,Female,Information & Communication,51.7
2022 Q2,Male,Information & Communication,117.9
2022 Q2,Female,Professional & Scientific,77.0
2022 Q2,Male,Professional & Scientific,92.7
2022 Q2,Female,Public Admin & Defence,69.4
2022 Q2,Male,Public Admin & Defence,60.7
2022 Q2,Female,Transport & Storage,22.0
2022 Q2,Male,Transport & Storage,90.5
2022 Q2,Female,Wholesale & Retail,157.9
2022 Q2,Male,Wholesale & Retail,167.6
2022 Q3,Female,Accommodation & Food,93.1
2022 Q3,Male,Accommodation & Food,78.7
2022 Q3,Female,Admin & Support,45.2
2022 Q3,Male,Admin & Support,66.9
2022 Q3,Female,Agriculture,12.1
2022 Q3,Male,Agriculture,85.0
2022 Q3,Female,Construction,16.2
2022 Q3,Male,Construction,157.0
2022 Q3,Female,Education,158.2
2022 Q3,Male,Education,53.2
2022 Q3,Female,Financial & Insurance,59.0
2022 Q3,Male,Financial & Insurance,70.4
2022 Q3,Female,Human Health & Social Work,272.7
2022 Q3,Male,Human Health & Social Work,73.5
2022 Q3,Female,Industry,103.4
2022 Q3,Male,Industry,232.0
2022 Q3,Female,Information & Communication,49.8
2022 Q3,Male,Information & Communication,114.6
2022 Q3,Female,Professional & Scientific,68.8
2022 Q3,Male,Professional & Scientific,100.1
2022 Q3,Female,Public Admin & Defence,69.9
2022 Q3,Male,Public Admin & Defence,65.5
2022 Q3,Female,Transport & Storage,21.3
2022 Q3,Male,Transport & Storage,89.6
2022 Q3,Female,Wholesale & Retail,154.1
