Quarter,Region,Sector,Employment
2022 Q1,Border,Accommodation & Food,13.2
2022 Q1,Border,Admin & Support,9.7
2022 Q1,Border,Agriculture,20.1
2022 Q1,Border,Construction,12.6
2022 Q1,Border,Education,16.5
2022 Q1,Border,Human Health & Social Work,25.5
2022 Q1,Border,Industry,23.9
2022 Q1,Border,Professional & Scientific,12.4
2022 Q1,Border,Public Admin & Defence,13.3
2022 Q1,Border,Transport & Storage,6.9
2022 Q1,Border,Wholesale & Retail,21.5
2022 Q1,Dublin,Accommodation & Food,48.9
2022 Q1,Dublin,Admin & Support,32.5
2022 Q1,Dublin,Construction,37.4
2022 Q1,Dublin,Education,61.9
2022 Q1,Dublin,Financial & Insurance,70.3
2022 Q1,Dublin,Human Health & Social Work,96.6
2022 Q1,Dublin,Industry,63.4
2022 Q1,Dublin,Information & Communication,89.4
2022 Q1,Dublin,Professional & Scientific,68.6
2022 Q1,Dublin,Public Admin & Defence,43.3
2022 Q1,Dublin,Transport & Storage,38.2
2022 Q1,Dublin,Wholesale & Retail,83.0
2022 Q1,Mid-East,Accommodation & Food,17.1
2022 Q1,Mid-East,Admin & Support,15.8
2022 Q1,Mid-East,Agriculture,11.3
2022 Q1,Mid-East,Construction,32.1
2022 Q1,Mid-East,Education,30.0
2022 Q1,Mid-East,Financial & Insurance,23.6
2022 Q1,Mid-East,Human Health & Social Work,48.3
2022 Q1,Mid-East,Industry,41.8
2022 Q1,Mid-East,Information & Communication,20.1
2022 Q1,Mid-East,Professional & Scientific,22.5
2022 Q1,Mid-East,Public Admin & Defence,22.8
2022 Q1,Mid-East,Transport & Storage,23.1
2022 Q1,Mid-East,Wholesale & Retail,49.2
2022 Q1,Mid-West,Accommodation & Food,14.4
2022 Q1,Mid-West,Admin & Support,10.5
2022 Q1,Mid-West,Agriculture,16.6
2022 Q1,Mid-West,Construction,14.2
2022 Q1,Mid-West,Education,23.3
2022 Q1,Mid-West,Financial & Insurance,6.7
2022 Q1,Mid-West,Human Health & Social Work,29.0
2022 Q1,Mid-West,Industry,38.5
2022 Q1,Mid-West,Information & Communication,9.0
2022 Q1,Mid-West,Professional & Scientific,12.4
2022 Q1,Mid-West,Public Admin & Defence,11.7
2022 Q1,Mid-West,Transport & Storage,8.9
2022 Q1,Mid-West,Wholesale & Retail,31.1
2022 Q1,Midland,Accommodation & Food,9.5
2022 Q1,Midland,Agriculture,11.8
2022 Q1,Midland,Construction,10.8
2022 Q1,Midland,Education,13.4
2022 Q1,Midland,Human Health & Social Work,16.5
2022 Q1,Midland,Industry,22.9
2022 Q1,Midland,Professional & Scientific,8.2
2022 Q1,Midland,Public Admin & Defence,11.9
2022 Q1,Midland,Transport & Storage,9.5
2022 Q1,Midland,Wholesale & Retail,23.0
2022 Q1,South-East,Accommodation & Food,11.4
2022 Q1,South-East,Agriculture,10.0
2022 Q1,South-East,Construction,16.4
2022 Q1,South-East,Education,18.7
2022 Q1,South-East,Financial & Insurance,10.0
2022 Q1,South-East,Human Health & Social Work,32.8
2022 Q1,South-East,Industry,29.7
2022 Q1,South-East,Information & Communication,11.5
2022 Q1,South-East,Professional & Scientific,11.8
